ID,1,2,3,4,5,6
TCGA-A2-A0YK,92.9761,0.1322,104.0652,114.5644,0,40.4032
TCGA-A2-A0YL,65.6159,0.0524,145.7144,110.0265,0,93.2112
TCGA-A2-A0YM,265.1849,0.0028,36.3798,0,3.1401,24.2035
TCGA-A7-A0CD,0.0065,91.7033,53.6331,160.5818,11.1865,43.0533
TCGA-A7-A0CE,254.3707,3.5353,23.5202,11.3857,13.2181,47.3569
TCGA-A7-A0CG,34.0037,0.0024,161.3421,126.1164,66.7268,72.214
TCGA-A7-A0CH,17.1729,2.3441,120.4293,196.6297,27.1668,19.4299
TCGA-A7-A0CJ,62.4627,70.5993,22.6372,74.1784,17.3954,59.6735
TCGA-A7-A0D9,19.2547,199.7825,104.3735,0,0.427,32.6995
TCGA-A7-A0DA,215.5584,0.037,152.1311,0,1.2078,32.7501
TCGA-A7-A0DB,10.238,0.0518,120.6933,169.2331,83.9713,85.557
TCGA-A7-A13D,246.21,0,117.0806,0,34.2988,53.3807
TCGA-A7-A13E,221.3536,0.1523,41.3696,0,2.1841,47.1849
TCGA-A7-A13F,26.2536,116.2906,59.5105,90.2725,53.3446,37.8106
TCGA-A8-A06N,0.018,232.2718,0.7704,0.8467,14.1305,0
TCGA-A8-A06O,11.1743,130.5954,72.9912,31.1759,71.3884,68.3186
TCGA-A8-A06P,15.7386,73.3,249.9772,66.6494,30.4538,67.8078
TCGA-A8-A06Q,5.6401,2.659,0,141.8953,164.6543,51.1237
TCGA-A8-A06R,55.0982,28.0886,169.6765,0,94.7666,89.2928
TCGA-A8-A06T,5.141,95.1679,58.4766,102.2443,45.3454,15.3814
TCGA-A8-A06U,36.6794,51.6188,35.7384,76.3246,115.4052,21.128
TCGA-A8-A06X,61.3597,86.0768,52.9173,0,86.5418,63.3718
TCGA-A8-A06Y,37.741,26.33,19.6787,184.9503,25.412,35.9071
TCGA-A8-A06Z,0,211.4151,13.1277,50.6197,55.3488,8.2309
TCGA-A8-A075,40.7154,0.5923,134.4593,55.6111,142.88,51.1415
TCGA-A8-A076,0.0659,19.288,184.7137,26.3391,207.1345,32.5442
TCGA-A8-A079,1.0128,92.8079,29.7429,126.6891,51.7403,100.016
TCGA-A8-A07B,59.0413,37.2355,103.6665,25.7612,109.5189,66.1517
TCGA-A8-A07C,241.9242,4.6964,22.6447,0.0339,0,16.9202
TCGA-A8-A07E,74.7743,2.6012,217.5028,91.2675,34.7391,43.8881
TCGA-A8-A07F,31.0991,0.0905,100.1654,140.8161,63.3126,0
TCGA-A8-A07G,43.5956,0.0195,300.017,135.7805,65.2597,26.8116
TCGA-A8-A07I,12.8332,35.6629,187.8263,28.7793,191.6817,0.7018
TCGA-A8-A07J,63.6212,3.3382,257.0474,84.4994,23.1476,29.7505
TCGA-A8-A07L,0.1489,153.9627,101.4964,0,60.993,37.6724
TCGA-A8-A07O,225.3245,8.2167,33.5026,0,16.8805,68.997
TCGA-A8-A07P,0,142.8122,94.3203,72.6732,47.9351,61.9616
TCGA-A8-A07R,272.7133,1.015,17.4677,0,43.6509,29.3637
TCGA-A8-A07S,20.2167,0.2369,68.5315,226.3506,24.8238,33.9807
TCGA-A8-A07U,245.9666,0,62.9593,7.1693,28.9249,0
TCGA-A8-A07W,52.0551,128.4521,115.6608,0,87.739,0.0002
TCGA-A8-A07Z,0.0519,88.3015,38.6663,120.1119,84.2682,45.3187
TCGA-A8-A081,49.2912,46.412,8.0476,72.331,115.1697,0
TCGA-A8-A082,19.4998,158.34,94.7247,32.9351,20.6217,29.1338
TCGA-A8-A083,0.0945,21.7948,8.2933,200.589,27.8383,44.3905
TCGA-A8-A084,21.0039,0,130.2087,104.5014,153.7132,0
TCGA-A8-A085,0.1236,203.7265,134.1746,5.867,0,45.8061
TCGA-A8-A086,12.1701,154.3155,200.1899,30.4995,0,74.9723
TCGA-A8-A08A,0,0,137.7072,188.8644,37.4988,81.2511
TCGA-A8-A08B,16.2281,0.0096,23.0506,43.6494,220.3435,97.0528
TCGA-A8-A08C,14.2474,0,60.3421,236.1344,0,53.5844
TCGA-A8-A08F,43.9184,76.2345,132.8736,24.1295,97.208,14.5486
TCGA-A8-A08G,16.2159,210.5062,96.6242,0,40.2211,0.0091
TCGA-A8-A08H,148.5091,0.0974,311.1212,14.3564,0,70.3368
TCGA-A8-A08I,132.7274,1.0435,5.5731,109.6801,61.9833,0
TCGA-A8-A08J,0.0013,73.0552,141.2406,0,210.6322,32.6511
TCGA-A8-A08L,79.6118,30.5633,64.7596,0,130.614,42.736
TCGA-A8-A08O,28.582,121.8324,154.1824,52.0702,2.8893,0
TCGA-A8-A08P,50.5974,29.0824,98.3449,17.6935,139.3726,44.8174
TCGA-A8-A08R,246.3659,0,67.3542,0,29.2978,0
TCGA-A8-A08T,36.5436,40.3222,73.7617,133.3499,7.1586,69.4233
TCGA-A8-A08X,60.8369,0,197.8242,0,146.6508,97.3303
TCGA-A8-A08Z,72.0257,0.2045,260.2738,85.4601,17.9038,36.7709
TCGA-A8-A090,32.6138,99.4771,96.3431,98.9931,23.2842,0
TCGA-A8-A091,1.2853,240.3636,62.6126,4.5709,0.0115,0
TCGA-A8-A092,13.6072,59.323,66.908,22.0134,161.7127,66.8994
TCGA-A8-A093,0.1361,47.8898,192.895,143.5237,3.4598,76.0247
TCGA-A8-A094,53.6258,0,71.8853,43.3371,190.4946,25.5735
TCGA-A8-A095,55.7206,0.1303,88.5379,141.5517,21.2406,41.7345
TCGA-A8-A096,38.3072,0.0293,207.2212,164.3752,31.8513,35.4997
TCGA-A8-A097,46.9187,49.7238,213.2129,45.1172,85.1329,11.0173
TCGA-A8-A099,8.1348,29.7693,61.6088,191.8428,29.3856,0
TCGA-A8-A09A,46.4844,157.1861,161.7213,3.7213,29.333,0
