ID,1,2,3,4,5,6,7,8
TCGA-A2-A0T4,11.7666,52.667,184.6477,72.7317,78.4214,93.1333,0,67.5251
TCGA-A2-A0T5,73.2531,0.054,96.2081,128.085,0,165.3419,11.8706,7.4491
TCGA-A2-A0T6,62.5291,0.0003,306.5185,112.6145,0,39.0036,0,17.7257
TCGA-A2-A0T7,91.4276,0.3273,186.9861,54.2096,58.8413,14.6158,22.9959,33.9938
TCGA-A2-A0YC,5.7774,0.048,85.379,163.9975,97.2812,19.855,17.8212,46.0351
TCGA-A2-A0YD,40.1596,0.0033,259.9402,117.8573,22.8557,27.0788,1.2862,61.4188
TCGA-A2-A0YE,198.5439,0.0193,61.2463,0,20.856,15.0107,0.003,69.6589
TCGA-A2-A0YF,22.2033,0.7453,16.772,164.7665,81.2063,0,80.921,35.488
TCGA-A2-A0YG,83.6155,3.2414,41.2462,28.1562,83.0169,0,202.0577,0.0034
TCGA-A2-A0YH,31.3673,1.7528,114.8635,6.4761,149.9239,48.2226,0.5444,112.7231
TCGA-A2-A0YI,23.5634,254.5875,84.268,165.0496,0,0,23.316,82.4083
TCGA-A2-A0YJ,241.4549,0.0002,18.6505,0,2.8281,0.0081,78.9087,22.4632
TCGA-A2-A0YK,65.7353,0.1332,93.031,120.2024,0,31.9251,31.4783,67.7436
TCGA-A2-A0YL,70.4236,0.0287,134.2962,124.4903,0,77.4672,3.711,19.1899
TCGA-A2-A0YM,211.5654,0.0002,35.8749,0,4.3203,14.5161,0,92.5742
TCGA-A7-A0CD,7.6716,5.2337,50.3136,153.2845,127.1636,53.7547,0,0
TCGA-A7-A0CE,195.4311,0.3535,22.4223,12.5802,10.1381,40.7643,0.0003,118.6699
TCGA-A7-A0CG,48.2376,0.0052,151.4472,134.8928,0,58.9052,120.9485,30.3597
TCGA-A7-A0CH,43.6961,1.5577,113.8974,194.714,0,0,81.1715,7.2891
TCGA-A7-A0CJ,56.773,0.0031,21.7767,52.598,117.5214,66.9753,0,13.4675
TCGA-A7-A0D9,43.4337,0.1025,99.0281,0,194.1159,57.3471,0.0718,0.2095
TCGA-A7-A0DA,189.5063,0.0008,151.0052,0,3.4736,20.823,0.5179,46.4839
TCGA-A7-A0DB,22.3159,0.0743,114.5136,163.4305,0,82.1304,166.0658,46.1388
TCGA-A7-A13D,213.3883,0.0007,120.568,0,9.9336,46.9153,0.0034,89.4668
TCGA-A7-A13E,199.5692,0,41.1912,0,4.2923,35.136,0,26.8248
TCGA-A7-A13F,19.3501,0.2153,58.8562,71.4935,170.7202,56.8755,34.3866,42.8246
TCGA-A8-A06N,7.0819,0.1304,0,40.9464,223.5019,25.1424,0,0
TCGA-A8-A06O,26.5942,0.5628,72.8264,34.6776,188.563,85.8631,3.1153,0
TCGA-A8-A06P,31.4217,0.006,247.9583,67.691,104.1162,72.7671,8.0763,0
TCGA-A8-A06Q,66.4509,0.0094,0,97.222,78.8862,34.7799,160.2629,0
TCGA-A8-A06R,70.1572,0.002,167.4479,0,78.1912,92.8678,6.0865,42.8094
TCGA-A8-A06T,5.5229,6.5994,55.8857,95.7429,144.2717,31.4438,0.1151,28.7197
TCGA-A8-A06U,33.3514,10.075,35.8244,49.5603,139.9474,34.8886,21.3351,75.1905
TCGA-A8-A06X,59.4351,0.0002,50.9445,0.0992,137.593,79.1383,0,62.6453
TCGA-A8-A06Y,32.9335,4.4612,17.7351,158.1511,79.8912,37.3357,4.9147,36.2002
TCGA-A8-A06Z,5.4116,224.7865,13.0824,57.474,177.9196,32.2677,36.2107,0
TCGA-A8-A075,65.3475,0.1992,136.3254,31.8996,90.0568,50.0351,36.4135,49.3611
TCGA-A8-A076,48.7631,0.4245,189.203,5.656,121.8753,32.3194,131.3222,0
TCGA-A8-A079,6.5511,0.0137,32.3237,59.0791,210.633,121.0739,0,0.1803
