1 2 3 4 5 6 7
TCGA-A2-A0YM 251.1541 2e-04 36.1155 0 8.7918 24.3889 0
TCGA-A7-A0CD 0 5.319 47.4919 153.1843 118.3394 51.2592 0.0512
TCGA-A7-A0CE 245.5158 0.2699 23.053 14.842 13.8063 46.5786 0.7392
TCGA-A7-A0CG 38.9707 0.0053 154.7314 137.4835 0 55.4884 128.3998
TCGA-A7-A0CH 19.5251 1.4591 113.7906 196.1795 14.4841 0 80.8104
TCGA-A7-A0CJ 38.264 0.0031 22.3393 49.9309 124.2974 74.6612 0
TCGA-A7-A0D9 5.4395 0.0857 100.0937 0 198.7101 67.6611 0.0403
TCGA-A7-A0DA 202.8492 6e-04 150.3159 0 8.4632 32.8255 0.5141
TCGA-A7-A0DB 17.1014 0.0741 117.9303 169.9013 0 71.1452 170.751
TCGA-A7-A13D 248.7783 6e-04 119.3563 0 14.0771 54.5482 3.7418
TCGA-A7-A13E 209.0561 0 40.6906 0 9.0847 45.5355 0
TCGA-A7-A13F 16.4303 0.2545 58.1771 78.5524 157.2935 57.4808 37.382
TCGA-A8-A06N 0 0.1322 0 22.1401 216.1876 27.8659 0
TCGA-A8-A06O 3.7906 0.5586 72.8133 26.7639 187.3508 91.2219 3.721
TCGA-A8-A06P 6.0204 0.0058 246.9195 61.3752 108.6597 79.8623 8.3508
TCGA-A8-A06Q 11.2993 0.0077 0 90.5248 95.2828 44.9675 183.688
TCGA-A8-A06R 68.2374 0.0019 169.7947 0 79.1536 95.3912 13.4885
TCGA-A8-A06T 2.5622 6.6049 55.7236 97.2231 137.9794 30.544 0.4594
TCGA-A8-A06U 48.1511 10.1011 36.1676 58.1339 125.0602 30.038 39.2014
TCGA-A8-A06X 63.0778 1e-04 53.253 0.0906 141.8199 81.176 0
TCGA-A8-A06Y 31.9936 4.288 16.2725 170.8426 73.2676 36.6731 9.2695
TCGA-A8-A06Z 0 223.6097 11.827 56.5633 161.1136 23.1309 37.774
TCGA-A8-A075 58.9747 0.1956 139.4785 29.7213 88.4588 52.9329 58.7071
TCGA-A8-A076 7.2263 0.4123 191.2963 0.3509 118.3349 35.9616 158.4715
TCGA-A8-A079 0 0.0135 28.8824 64.7214 188.5462 115.5381 0
TCGA-A8-A07B 52.1154 0.001 105.3252 8.7256 104.9706 71.8222 75.8987
TCGA-A8-A07C 225.1847 0 22.1142 0 14.2024 17.764 0.008
TCGA-A8-A07E 67.1904 0.0075 213.7959 77.3694 43.2128 43.6886 27.9221
TCGA-A8-A07F 26.9419 0.0071 99.486 111.5437 68.9433 0 42.2089
TCGA-A8-A07G 46.3375 0.0079 300.8614 115.8331 56.8538 27.4545 37.738
