ID,1,2,3,4,5
TCGA-A8-A06U,14.1193,56.5494,35.4704,73.1077,130.2672
TCGA-A8-A06X,77.3237,82.9973,53.6502,0,90.9496
TCGA-A8-A06Y,20.2243,50.3599,19.3401,161.2067,45.6053
TCGA-A8-A06Z,0,200.9373,12.9124,41.1348,47.2863
TCGA-A8-A075,40.4682,0.8029,134.9574,79.5929,135.6629
TCGA-A8-A076,6.6147,20.2575,182.957,58.2641,169.2181
TCGA-A8-A079,38.501,106.7822,29.7607,134.9433,30.7417
TCGA-A8-A07B,80.7166,38.8965,106.1802,37.0186,92.9269
TCGA-A8-A07C,167.7247,5.2265,28.3734,0,59.1253
TCGA-A8-A07E,61.4062,14.0703,232.2519,78.6846,54.9496
TCGA-A8-A07F,0.6109,34.6429,112.1556,88.4784,86.8637
TCGA-A8-A07G,24.0745,1.1397,315.58,131.389,84.618
TCGA-A8-A07I,1.1143,36.5762,188.4204,35.8196,173.6505
TCGA-A8-A07J,38.1383,13.0806,273.9239,66.3538,58.2585
TCGA-A8-A07L,23.1497,150.4933,103.7127,0,38.0575
TCGA-A8-A07O,186.6563,7.3104,37.2593,0,77.7064
TCGA-A8-A07P,2.5518,152.7424,98.9882,87.0344,33.7162
TCGA-A8-A07R,181.6251,1.6276,19.3629,0,128.5357
TCGA-A8-A07S,1.2246,22.8188,71.6264,198.6494,54.2365
TCGA-A8-A07U,120.0645,0,69.4287,2.6309,144.1342
TCGA-A8-A07W,24.9786,110.2887,117.7657,0,110.4498
TCGA-A8-A07Z,0.3916,90.9585,37.8539,127.5386,81.6891
TCGA-A8-A081,9.1523,59.2347,7.6633,59.0744,134.4945
TCGA-A8-A082,25.6749,144.9765,98.4897,35.6044,18.3066
TCGA-A8-A083,0.0067,57.449,7.3578,164.7402,37.179
TCGA-A8-A084,0.3384,0,132.5068,101.4352,159.4534
TCGA-A8-A085,26.1144,184.9014,137.5548,3.1544,0
TCGA-A8-A086,53.1228,146.7117,203.5551,21.5605,0
TCGA-A8-A08A,5.4953,0,141.0627,218.7965,46.3033
TCGA-A8-A08B,51.9094,0.0066,19.727,104.5326,165.3763
TCGA-A8-A08C,7.0921,0,65.038,230.6604,37.6144
TCGA-A8-A08F,18.2202,71.0617,134.12,26.2863,117.7353
TCGA-A8-A08G,3.8816,181.3741,97.8467,0,57.2926
TCGA-A8-A08H,131.5039,0.0725,325.1484,10.7238,47.5298
TCGA-A8-A08I,16.9585,21.3467,4.8054,80.1242,180.4401
TCGA-A8-A08J,14.6492,87.607,138.8756,0,173.4035
TCGA-A8-A08L,77.5291,36.5076,67.0025,0,129.6504
TCGA-A8-A08O,20.0149,130.941,166.0084,15.8447,7.6721
TCGA-A8-A08P,48.2321,28.8837,97.1571,30.8488,140.0669
TCGA-A8-A08R,140.2699,0,79.157,0,110.8607
TCGA-A8-A08T,50.0435,60.9366,79.2751,115.6782,12.7691
TCGA-A8-A08X,118.5318,0,194.6539,0,131.7052
TCGA-A8-A08Z,51.3122,2.0647,278.0814,77.4569,50.6278
TCGA-A8-A090,1.5229,124.6483,103.8993,43.284,57.4993
TCGA-A8-A091,0.1402,215.2484,65.9512,0.5808,1.3301
TCGA-A8-A092,43.7173,59.2886,65.1947,53.3879,118.6571
TCGA-A8-A093,16.6915,63.2378,202.4475,144.6949,0.0076
TCGA-A8-A094,24.827,0,71.0592,86.0508,173.9362
TCGA-A8-A095,39.0227,12.7597,96.4167,125.8657,51.0959
TCGA-A8-A096,8.2948,10.0464,219.6189,151.5791,72.7301
TCGA-A8-A097,27.3834,54.1379,222.0865,35.919,92.8745
TCGA-A8-A099,0,64.5638,66.1648,129.1599,37.9818
TCGA-A8-A09A,24.5192,141.6173,171.6231,0,42.5348
TCGA-A8-A09B,3.5426,109.616,123.2748,94.9676,26.1868
TCGA-A8-A09C,58.4079,61.7426,92.2419,122.8589,1.8025
